"uid","domainID","siteID","namedLocation","startDate","surveyEndDate","samplingImpractical","eventID","surveyBoutTypeID","meanBankfullWidth","S1habitatID","S2habitatID","sensorSetLength","sensorSetSlope","sensorSetElevDiff","thalwegLength","thalwegSlope","channelSinuosityIndex","percentDry","percentComplete","percentSubterranean","totalTransformationError","samplingProtocolVersion","sopVersion","dataFileName","dataFilePath","rawDataFileName","rawDataFilePath","remarks","processedSurveyVersion","dataQF","publicationDate","release"
"9b36a79f-99be-4e0f-81c8-75ca899c4a58","D01","HOPB","HOPB",2022-08-08 20:00:00,2022-08-08 20:00:00,"OK","HOPB.202208","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D01_HOPB_20220808_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D01_HOPB_20220808_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T143301Z","RELEASE-2025"
"228b83f9-0e1b-4443-bc49-e736d44c0354","D02","LEWI","LEWI",2022-06-07 20:00:00,2022-06-07 20:00:00,"OK","LEWI.202206","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D02_LEWI_20220607_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D02_LEWI_20220607_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T142715Z","RELEASE-2025"
"1a848c11-ed35-409e-b066-e921ba30a660","D02","POSE","POSE",2022-06-07 20:00:00,2022-06-07 20:00:00,"OK","POSE.202206","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D02_POSE_20220620_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D02_POSE_20220620_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T142923Z","RELEASE-2025"
"5a656852-6371-433b-9951-82214f06fcbf","D04","CUPE","CUPE",2022-04-06 12:47:00,2022-04-06 12:47:00,"OK","CUPE.202204","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D04_CUPE_20220406_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D04_CUPE_20220406_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241218T012308Z","RELEASE-2025"
"05cffe16-b6b9-4ce8-bce1-eaaecc197019","D04","CUPE","CUPE",2022-09-29 14:49:00,2022-09-29 14:49:00,"OK","CUPE.202209","AIS survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.005399vA",NA,NA,NA,NA,NA,NA,NA,NA,"20241213T142946Z","RELEASE-2025"
"44d1bca6-0d2c-4e1d-9f6b-a0631387f8f6","D04","GUIL","GUIL",2022-04-18 14:53:00,2022-05-26 17:14:00,"OK","GUIL.202205","geomorphology",10.57,"riffle11","pool5",233.35,1.55,3.61,1130.01,1.05,0.79,0,100,0,0,"NEON.DOC.003162vA",NA,"NEON_D04_GUIL_GEOMORPH_20220526_L4_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D04_GUIL_GEOMORPH_20220526_L4_VG.zip",NA,NA,NA,"VG",NA,"20241213T143345Z","RELEASE-2025"
"ecfc8eca-1b30-45b5-8ac5-962eccc7ec64","D06","KING","KING",2022-09-14 16:34:00,2022-09-14 23:22:00,"OK","KING.202209","AIS survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.005399vA",NA,NA,NA,NA,NA,NA,NA,NA,"20241213T143012Z","RELEASE-2025"
"32e9beca-881b-45a1-b04e-910eec9f7002","D06","KING","KING",2022-11-30 17:34:00,2022-12-01 17:41:00,"OK","KING.202212","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D06_KING_20221201_RAPID_HABITAT_PROCESSED_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D06_KING_20221201_RAPID_HABITAT_PROCESSED_L0_VG.zip",NA,"VG",NA,"20250120T170317Z","RELEASE-2025"
"2e348d79-bd76-476f-b375-97ce20eae4ba","D06","MCDI","MCDI",2022-12-01 18:00:00,2022-12-01 18:00:00,"other","MCDI.202212","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,NA,NA,"missing survey data",NA,NA,"20241221T162825Z","RELEASE-2025"
"853b0198-9e84-4aab-8919-9819c932a8fa","D07","LECO","LECO",2022-10-05 22:00:00,2022-10-05 22:00:00,"OK","LECO.202210","rapid habitat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.003162vD",NA,NA,NA,"NEON_D07_LECO_20221005_RAPID_HABITAT_L0_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D07_LECO_20221005_RAPID_HABITAT_L0_VG.zip",NA,"VG",NA,"20241213T143144Z","RELEASE-2025"
"ba6a1f4c-2256-43cb-a153-a0edc9077080","D07","WALK","WALK",2022-08-22 14:39:00,2022-09-15 12:27:00,"OK","WALK.202209","geomorphology",4.17,"pool5","run18",159.95,1.99,3.19,1239.29,2.9,0.79,0,100,0,0,"NEON.DOC.003162vA",NA,"NEON_D07_WALK_GEOMORPH_20220915_L4_VG.zip","https://storage.neonscience.org/neon-geobath-files/NEON_D07_WALK_GEOMORPH_20220915_L4_VG.zip",NA,NA,NA,"VG",NA,"20241213T142611Z","RELEASE-2025"
"9f0fdc51-5d28-4421-bf05-105a45eef4be","D08","MAYF","MAYF",2022-01-17 15:50:00,2022-01-17 21:29:00,"OK","MAYF.202201","AIS survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEON.DOC.005399vA",NA,NA,NA,NA,NA,NA,NA,NA,"20241213T143507Z","RELEASE-2025"
